Emotion,Labels,ID_NO,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6056,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6131,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6117,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6020,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6075,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6105,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6070,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6107,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6114,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6123,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6030,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6123,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6007,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6051,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6123,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6055,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6007,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6041,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6070,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6004,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6061,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6034,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6004,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6081,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6138,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6114,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6028,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6111,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6051,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6049,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6059,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6123,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6056,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6013,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6051,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6005,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6128,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6051,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6034,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6116,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6027,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6073,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6042,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6049,,,,,,,,,,,,,,,,,,,,
Negative,own health+physical pain,6043,,,,,,,,,,,,,,,,,,,,
